                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.52479,                0.30988,                0.94307,                0.82009,                0.82968,                0.84363,                 0.6429,                0.86098,                 1.2315,                 1.2122,             0.00028608,             0.00028608,             0.00028608
                     78,                0.53654,                0.31377,                0.97347,                0.85432,                0.80943,                0.84191,                 0.6381,                0.87721,                 1.3503,                 1.2095,             0.00027508,             0.00027508,             0.00027508
                     79,                0.58153,                0.34257,                0.97433,                0.84867,                0.82386,                0.84854,                0.64981,                0.84611,                 1.2477,                 1.2089,             0.00026408,             0.00026408,             0.00026408
                     80,                0.52158,                0.31886,                0.97412,                 0.8766,                0.82503,                0.86857,                0.66616,                0.85706,                 1.0589,                 1.2047,             0.00025309,             0.00025309,             0.00025309
                     81,                0.52809,                 0.3123,                0.95438,                0.84973,                 0.8784,                0.89308,                0.66499,                0.87132,                0.95418,                 1.2227,             0.00024209,             0.00024209,             0.00024209
                     82,                0.53099,                0.30298,                0.95391,                0.85276,                0.86856,                0.89265,                 0.6596,                0.86264,                0.94869,                 1.2135,             0.00023109,             0.00023109,             0.00023109
                     83,                0.53256,                0.30557,                0.96841,                0.87106,                0.81728,                0.87961,                  0.665,                0.87464,                  1.046,                 1.2238,             0.00022009,             0.00022009,             0.00022009
                     84,                0.52919,                0.30345,                 0.9644,                0.87497,                0.81457,                0.86282,                0.65021,                 0.8754,                 1.1014,                  1.231,             0.00020909,             0.00020909,             0.00020909
                     85,                0.54245,                0.32178,                0.97623,                0.86352,                0.81116,                0.86791,                0.66634,                0.85429,                 1.0969,                 1.2125,             0.00019809,             0.00019809,             0.00019809
                     86,                0.52165,                0.30587,                0.95424,                0.85564,                0.81465,                 0.8614,                 0.6643,                0.85077,                 1.1659,                 1.2092,             0.00018709,             0.00018709,             0.00018709
                     87,                0.54707,                 0.3069,                0.97011,                0.86037,                0.81731,                0.85817,                0.65019,                0.84809,                 1.1925,                  1.214,             0.00017609,             0.00017609,             0.00017609
                     88,                0.53732,                0.29259,                 0.9749,                 0.8497,                0.81736,                0.85419,                0.64459,                0.86688,                 1.1468,                 1.2248,             0.00016509,             0.00016509,             0.00016509
                     89,                0.53001,                0.30332,                0.95389,                 0.8683,                0.81162,                 0.8507,                0.64537,                0.86533,                 1.0937,                 1.2272,              0.0001541,              0.0001541,              0.0001541
                     90,                 0.5049,                0.28316,                0.94058,                0.84672,                0.83885,                0.83987,                0.63762,                0.87433,                  1.067,                 1.2476,              0.0001431,              0.0001431,              0.0001431
                     91,                0.49778,                 0.2678,                0.96235,                0.86746,                0.81069,                0.84731,                0.65858,                0.87648,                 1.0555,                 1.2377,              0.0001321,              0.0001321,              0.0001321
                     92,                0.47326,                0.25998,                0.93271,                0.86587,                0.81201,                0.84987,                0.66028,                 0.8694,                 1.0498,                 1.2279,              0.0001211,              0.0001211,              0.0001211
                     93,                0.45496,                0.24752,                0.94271,                0.86048,                0.80429,                0.82998,                0.65537,                0.85653,                 1.1426,                 1.2275,              0.0001101,              0.0001101,              0.0001101
                     94,                0.46052,                0.23615,                0.94539,                0.90104,                0.75681,                0.82244,                0.63822,                0.85228,                 1.2312,                 1.2285,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.44512,                  0.228,                0.92497,                0.89514,                0.75197,                0.80585,                0.63094,                0.86035,                 1.3008,                 1.2265,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.45764,                0.25068,                0.92908,                0.90339,                0.74296,                0.80452,                0.63283,                0.85294,                 1.3069,                 1.2268,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.45621,                0.23928,                0.93252,                0.90471,                 0.7424,                 0.8086,                0.64054,                0.84459,                 1.2705,                 1.2269,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.44537,                 0.2335,                0.93094,                0.85522,                0.79003,                0.81476,                0.63794,                0.84067,                 1.2644,                 1.2241,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.44743,                0.22707,                0.92385,                 0.8607,                0.79451,                0.81911,                0.64152,                0.82997,                  1.272,                 1.2175,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.42122,                0.22897,                0.91274,                0.86056,                0.79494,                0.82013,                0.65058,                0.82811,                 1.2767,                 1.2159,             3.3108e-05,             3.3108e-05,             3.3108e-05
